STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CLDD,DP01,DP10,DT00,DT32,DX32,DX70,DX90,EMNT,EMXP,EMXT,HDSD,HTDD,PRCP,TAVG,TMAX,TMIN
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2011-08,,6,5,,,,,,,0.63,,,,1.63,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2011-09,,7,5,,,0,28,16,,2.95,101,,,8.4,,91.6,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2011-10,,0,0,,,0,29,24,,0,98,,,0,,93.7,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2011-11,,0,0,,,0,29,17,,0,97,,,0,,91.2,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2011-12,,0,0,,,0,30,5,,0,96,,,0,,83.6,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2012-01,,1,0,,,0,26,0,,0.01,81,,,0.01,,78.5,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2012-02,,0,0,,,0,27,1,,0,90,,,0,,80.4,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2012-03,,0,0,,,0,28,8,,0,100,,,0,,89.1,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2012-04,,0,0,,,,,,,0,,,,0,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2012-05,,0,0,,,0,28,28,,0,108,,,0,,95.4,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2012-06,,0,0,,,0,26,26,,0,98,,,0,,93.7,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2012-07,,1,0,,,0,31,24,,0.03,97,,,0.03,,91.7,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2012-08,,3,1,,,0,27,19,,0.29,99,,,0.32,,91.2,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2012-09,,7,6,,,,,,,1.92,,,,3.7,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2012-10,,1,0,,,0,28,27,,0.03,99,,,0.03,,95.3,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2012-11,,0,0,,,0,27,15,,0,97,,,0,,90.6,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2012-12,,1,1,,,0,26,0,,0.91,90,,,0.91,,82.7,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2014-01,,0,0,,,,,,,0,,,,0,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2014-02,,0,0,,,,,,,0,,,,0,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2014-03,,2,1,,,,,,,0.43,,,,0.49,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2014-04,,0,0,,,,,,,0,,,,0,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2014-05,,1,0,,,,,,,0.05,,,,0.05,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2014-06,,0,0,,,,,,,0,,,,0,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2014-07,,1,0,,,,,,,0.04,,,,0.04,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2014-08,,3,1,,,,,,,0.35,,,,0.38,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2014-09,,1,0,,,,,,,0.06,,,,0.06,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2014-10,,0,0,,,,,,,0,,,,0,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2014-11,,1,1,,,,,,,0.18,,,,0.18,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2014-12,,0,0,,,,,,,0,,,,0,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2015-01,,1,0,,,,,,,0.01,,,,0.01,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2015-02,,1,0,,,,,,,0.08,,,,0.08,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2015-03,,2,1,,,,,,,0.1,,,,0.11,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2015-04,,0,0,,,,,,,0,,,,0,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2015-05,,0,0,,,,,,,0,,,,0,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2015-06,,0,0,,,,,,,0,,,,0,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2015-07,,5,1,,,,,,,0.57,,,,0.74,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2015-08,,1,0,,,,,,,0.06,,,,0.06,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2015-09,,0,0,,,,,,,0,,,,0,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2015-10,,0,0,,,,,,,0,,,,0,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2015-11,,0,0,,,,,,,0,,,,0,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2015-12,,0,0,,,,,,,0,,,,0,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2016-01,,1,1,,,,,,,0.12,,,,0.12,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2016-02,,0,0,,,,,,,0,,,,0,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2016-03,,0,0,,,,,,,0,,,,0,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2016-04,,0,0,,,,,,,0,,,,0,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2016-05,,0,0,,,,,,,0,,,,0,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2016-06,,2,2,,,,,,,1.71,,,,2.59,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2016-07,,4,0,,,,,,,0.06,,,,0.09,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2016-08,,4,4,,,,,,,1.42,,,,3.81,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2016-09,,0,0,,,,,,,0,,,,0,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2016-10,,0,0,,,,,,,0,,,,0,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2016-11,,0,0,,,,,,,0,,,,0,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2016-12,,0,0,,,,,,,0,,,,0,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2017-01,,2,2,,,,,,,0.5,,,,0.63,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2017-02,,0,0,,,,,,,0,,,,0,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2017-03,,0,0,,,,,,,0,,,,0,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2017-04,,1,1,,,,,,,1.57,,,,1.57,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2017-05,,0,0,,,,,,,0,,,,0,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2017-06,,4,2,,,,,,,1.37,,,,2.32,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2017-07,,9,3,,,,,,,0.62,,,,1.31,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2017-08,,6,3,,,,,,,1.03,,,,2.58,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2017-09,,2,2,,,,,,,0.87,,,,1.04,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2017-10,,0,0,,,,,,,0,,,,0,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2017-11,,0,0,,,,,,,0,,,,0,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2017-12,,1,1,,,,,,,0.26,,,,0.26,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2018-01,,0,0,,,,,,,0,,,,0,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2018-02,,0,0,,,,,,,0,,,,0,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2018-03,,0,0,,,,,,,0,,,,0,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2018-04,,0,0,,,,,,,0,,,,0,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2018-05,,0,0,,,,,,,0,,,,0,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2018-06,,1,0,,,,,,,0.04,,,,0.04,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2018-07,,0,0,,,,,,,0,,,,0,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2018-08,,2,0,,,,,,,0.07,,,,0.1,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2018-09,,0,0,,,,,,,0,,,,0,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2018-10,,0,0,,,,,,,0,,,,0,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2018-11,,0,0,,,,,,,0,,,,0,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2018-12,,0,0,,,,,,,0,,,,0,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2019-01,,3,3,,,,,,,1.14,,,,1.55,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2019-02,,0,0,,,,,,,0,,,,0,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2019-03,,1,0,,,,,,,0.09,,,,0.09,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2019-04,,0,0,,,,,,,0,,,,0,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2019-05,,1,1,,,,,,,1.97,,,,1.97,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2019-06,,2,1,,,,,,,0.63,,,,0.71,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2019-07,,7,4,,,,,,,2.1,,,,3.33,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2019-08,,6,5,,,,,,,4.45,,,,8.18,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2019-09,,5,4,,,,,,,0.47,,,,1.4,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2019-10,,1,0,,,,,,,0.05,,,,0.05,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2019-11,,0,0,,,,,,,0,,,,0,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2019-12,,0,0,,,,,,,0,,,,0,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2020-01,,0,0,,,,,,,0,,,,0,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2020-02,,1,1,,,,,,,0.1,,,,0.1,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2020-03,,1,1,,,,,,,0.2,,,,0.2,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2020-04,,0,0,,,,,,,0,,,,0,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2020-05,,0,0,,,,,,,0,,,,0,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2020-06,,0,0,,,,,,,0,,,,0,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2020-07,,9,4,,,,,,,1.95,,,,3.97,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2020-08,,10,8,,,,,,,4.8,,,,12.44,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2020-10,,0,0,,,,,,,0,,,,0,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2020-11,,1,1,,,,,,,0.12,,,,0.12,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2021-01,,0,0,,,,,,,0,,,,0,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2021-03,,0,0,,,,,,,0,,,,0,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2021-04,,0,0,,,,,,,0,,,,0,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2021-05,,0,0,,,,,,,0,,,,0,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2021-06,,0,0,,,,,,,0,,,,0,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2021-07,,6,3,,,,,,,1.18,,,,2.92,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2021-08,,0,0,,,,,,,0,,,,0,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2021-09,,7,4,,,,,,,7.56,,,,11.87,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2021-10,,2,2,,,,,,,2.76,,,,3.16,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2021-11,,0,0,,,,,,,0,,,,0,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2021-12,,2,2,,,,,,,0.55,,,,0.67,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2022-01,,2,2,,,,,,,8.15,,,,11.22,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2022-02,,1,0,,,,,,,0.02,,,,0.02,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2022-03,,0,0,,,,,,,0,,,,0,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2022-04,,0,0,,,,,,,0,,,,0,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2022-05,,0,0,,,0,29,29,,0,109,,,0,,98.1,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2022-06,,,,,,0,30,30,,,104,,,,,96.3,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2022-07,,16,11,,,0,29,16,,3.22,99,,,12.04,,91.5,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2022-08,,,,,,0,28,13,,,98,,,,,90.1,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2022-09,,,,,,0,30,22,,,105,,,,,92.6,
